id,date,1,2,3,4,5,6
1.0,27.01.1957,8,12,31,39,43,45
2.0,03.02.1957,5,10,11,22,25,27
3.0,10.02.1957,18,19,20,26,45,49
4.0,17.02.1957,2,11,14,37,40,45
5.0,24.02.1957,8,10,15,35,39,49
6.0,03.03.1957,24,26,31,35,43,47
7.0,10.03.1957,13,20,23,29,38,44
8.0,17.03.1957,8,13,15,22,38,47
9.0,24.03.1957,3,10,27,29,34,42
10.0,31.03.1957,4,5,6,13,23,25
11.0,07.04.1957,1,7,13,15,21,39
12.0,14.04.1957,2,4,31,38,39,46
13.0,28.04.1957,15,18,22,26,33,38
14.0,05.05.1957,2,4,11,18,25,48
15.0,12.05.1957,2,8,28,31,32,33
16.0,19.05.1957,10,13,19,21,32,34
17.0,26.05.1957,16,24,25,29,32,36
18.0,02.06.1957,10,11,12,31,32,33
19.0,09.06.1957,5,16,23,30,32,46
20.0,16.06.1957,3,5,11,14,33,48
21.0,23.06.1957,4,9,16,19,28,39
22.0,30.06.1957,13,19,21,24,30,36
23.0,07.07.1957,8,14,24,26,30,33
24.0,14.07.1957,1,11,14,25,44,49
25.0,21.07.1957,3,6,13,22,27,33
26.0,28.07.1957,1,13,19,21,27,35
27.0,04.08.1957,2,5,15,20,30,48
28.0,11.08.1957,4,19,21,32,34,37
29.0,18.08.1957,1,6,17,27,40,44
30.0,25.08.1957,8,20,39,41,45,49
31.0,01.09.1957,5,16,17,38,40,48
32.0,08.09.1957,6,16,21,25,43,48
33.0,15.09.1957,5,10,16,18,40,42
34.0,22.09.1957,1,15,16,19,47,48
35.0,29.09.1957,4,12,30,35,46,48
36.0,06.10.1957,2,8,9,12,16,30
37.0,13.10.1957,18,22,27,31,35,36
38.0,20.10.1957,22,24,37,40,41,45
39.0,27.10.1957,1,9,14,27,32,34
40.0,03.11.1957,13,21,28,36,39,40
41.0,10.11.1957,8,19,28,30,31,47
42.0,17.11.1957,1,7,9,14,45,48
43.0,24.11.1957,2,6,18,20,40,49
44.0,01.12.1957,5,8,14,26,32,44
45.0,08.12.1957,11,17,24,35,42,47
46.0,15.12.1957,7,12,19,36,42,49
47.0,22.12.1957,8,15,24,27,37,46
48.0,05.01.1958,2,20,22,36,37,45
49.0,12.01.1958,1,24,30,37,47,48
50.0,19.01.1958,9,15,29,33,43,44
51.0,26.01.1958,12,34,35,43,44,49
52.0,02.02.1958,1,15,29,30,31,33
53.0,09.02.1958,1,21,22,25,34,47
54.0,16.02.1958,2,8,11,39,41,45
55.0,23.02.1958,8,26,28,36,43,49
56.0,02.03.1958,11,14,19,22,23,25
57.0,09.03.1958,5,8,10,26,30,42
58.0,16.03.1958,2,6,9,36,38,42
59.0,23.03.1958,3,7,9,25,42,48
60.0,30.03.1958,4,8,10,32,42,45
61.0,13.04.1958,3,15,18,35,42,43
62.0,20.04.1958,4,5,9,19,27,32
63.0,27.04.1958,13,16,35,40,41,42
64.0,04.05.1958,4,28,38,40,45,46
65.0,11.05.1958,8,17,22,27,31,41
66.0,18.05.1958,1,2,8,17,28,40
67.0,25.05.1958,7,16,27,33,41,43
68.0,01.06.1958,1,20,41,42,43,44
69.0,08.06.1958,13,14,25,29,33,47
70.0,15.06.1958,17,23,29,39,41,45
71.0,22.06.1958,2,14,22,44,48,49
72.0,29.06.1958,3,7,13,15,16,47
73.0,06.07.1958,10,11,28,38,48,49
74.0,13.07.1958,9,16,21,24,27,35
75.0,20.07.1958,1,7,17,18,29,33
76.0,27.07.1958,19,21,22,25,36,44
77.0,03.08.1958,2,4,22,31,32,43
78.0,10.08.1958,4,9,16,26,27,46
79.0,17.08.1958,34,35,37,38,39,45
80.0,24.08.1958,17,21,27,35,41,49
81.0,31.08.1958,30,31,32,41,46,49
82.0,07.09.1958,10,16,23,26,30,39
83.0,14.09.1958,13,16,18,19,30,35
84.0,21.09.1958,9,23,26,29,31,42
85.0,28.09.1958,12,16,21,28,36,49
86.0,05.10.1958,4,11,14,23,36,44
87.0,12.10.1958,8,15,17,33,34,48
88.0,19.10.1958,1,2,13,17,37,42
89.0,26.10.1958,16,25,31,32,45,49
